Date,Open,High,Low,Close,Volume,Change
2017-01-16,67060,67060,67060,67060,23,
2017-01-17,67060,67060,67060,67060,0,0.0
2017-01-18,67060,67060,67060,67060,0,0.0
2017-01-19,67060,67060,67060,67060,0,0.0
2017-01-20,67060,67060,67060,67060,0,0.0
2017-01-23,67060,67060,67060,67060,0,0.0
2017-01-24,62128,62128,62128,62138,23,-0.07339695794810619
2017-01-25,71348,71348,71348,71348,2,0.14821848144452665
2017-01-26,64920,64920,64920,64920,0,-0.0900936256096877
2017-01-31,61265,61265,61265,61275,23,-0.05614602587800366
2017-02-01,61265,61265,61265,61275,0,0.0
2017-02-02,61265,61265,61265,61275,0,0.0
2017-02-03,61265,61265,61265,61275,0,0.0
2017-02-06,61265,61265,61265,61275,0,0.0
2017-02-07,61265,61265,61265,61275,0,0.0
2017-02-08,61265,61265,61265,61275,0,0.0
2017-02-09,61265,61265,61265,61275,0,0.0
2017-02-10,58492,58492,58492,58493,23,-0.04540187678498575
2017-02-13,67060,67060,67060,67060,2,0.14646196980835313
2017-02-14,61265,61265,61265,61275,0,-0.08626603042051895
2017-02-15,61265,61265,61265,61275,0,0.0
2017-02-16,61265,61265,61265,61275,0,0.0
2017-02-17,61265,61265,61265,61275,0,0.0
2017-02-20,61265,61265,61265,61275,0,0.0
2017-02-21,61265,61265,61265,61275,0,0.0
2017-02-22,61265,61265,61265,61275,0,0.0
2017-02-23,61265,61265,61265,61275,0,0.0
2017-02-24,61265,61265,61265,61275,0,0.0
2017-02-27,61265,61265,61265,61275,0,0.0
2017-02-28,61265,61265,61265,61275,0,0.0
2017-03-02,61265,61265,61265,61275,0,0.0
2017-03-03,61265,61265,61265,61275,0,0.0
2017-03-06,61265,61265,61265,61275,0,0.0
2017-03-07,61265,61265,61265,61275,0,0.0
2017-03-08,61265,61265,61265,61275,0,0.0
2017-03-09,61265,61265,61265,61275,0,0.0
2017-03-10,61265,61265,61265,61275,0,0.0
2017-03-13,61265,61265,61265,61275,0,0.0
2017-03-14,61265,61265,61265,61275,0,0.0
2017-03-15,61265,61265,61265,61275,0,0.0
2017-03-16,61265,61265,61265,61275,0,0.0
2017-03-17,61265,61265,61265,61275,0,0.0
2017-03-20,61265,61265,61265,61275,0,0.0
2017-03-21,61265,61265,61265,61275,0,0.0
2017-03-22,61265,61265,61265,61275,0,0.0
2017-03-23,61265,61265,61265,61275,0,0.0
2017-03-24,61265,61265,61265,61275,0,0.0
2017-03-27,61265,61265,61265,61275,0,0.0
2017-03-28,61265,61265,61265,61275,0,0.0
2017-03-29,61265,61265,61265,61275,0,0.0
2017-03-30,61265,61265,61265,61275,0,0.0
2017-03-31,61265,61265,61265,61275,0,0.0
2017-04-03,61265,61265,61265,61275,0,0.0
2017-04-04,61265,61265,61265,61275,0,0.0
2017-04-05,61265,61265,61265,61275,0,0.0
