Date,Open,High,Low,Close,Volume,Change
2016-01-04,19983,19983,19157,19258,33148,-0.036280838712905994
2016-01-05,18907,19558,18882,19508,18018,0.0129816180288711
2016-01-06,19232,19557,18756,19007,26688,-0.02568177158088991
2016-01-07,19007,19007,18456,18507,34389,-0.026306097753459268
2016-01-08,18306,18482,17931,18357,20705,-0.008105041335710772
2016-01-11,18257,18257,17731,17882,25381,-0.025875687748542764
2016-01-12,18057,18057,17156,17507,40251,-0.020970808634380944
2016-01-13,17506,18357,17506,17857,38483,0.01999200319872041
2016-01-14,17757,17757,17131,17432,33821,-0.023800190401523258
2016-01-15,17432,17632,16956,17032,45700,-0.022946305644791165
2016-01-18,17006,17557,16931,17532,28492,0.029356505401596955
2016-01-19,17532,17532,17006,17407,29793,-0.007129819758156519
2016-01-20,17407,17507,16656,17007,28584,-0.022979261216751867
2016-01-21,16781,17507,16781,17007,21800,0.0
2016-01-22,17006,17157,16906,17032,31696,0.0014699829481978899
2016-01-25,17182,17207,16956,17032,61396,0.0
2016-01-26,17082,17082,16831,16882,10401,-0.008806951620479064
2016-01-27,17056,17282,16931,17132,35127,0.014808671958298714
2016-01-28,17006,17582,17006,17332,20205,0.011674060238150874
2016-01-29,17331,17532,17206,17432,12034,0.005769674590353047
2016-02-01,17531,18382,17481,18307,45428,0.05019504359798077
2016-02-02,18307,18382,17856,18007,16307,-0.016387174304910657
2016-02-03,17982,18007,17556,17757,24207,-0.013883489753984568
2016-02-04,17756,17982,17706,17957,23887,0.011263163822717859
2016-02-05,17956,18507,17956,18282,23294,0.01809879155760985
2016-02-11,17882,17957,17531,17732,21670,-0.030084235860409092
2016-02-12,17507,17557,16506,16957,57473,-0.04370629370629375
2016-02-15,16956,17132,16806,17007,27834,0.002948634782095949
2016-02-16,17157,17182,16807,16807,42148,-0.011759863585582453
2016-02-17,16806,17082,16806,17007,39751,0.011899803653239616
2016-02-18,17057,17107,16956,17057,29071,0.0029399658963955577
2016-02-19,17006,17432,16956,17332,25103,0.016122413085536635
2016-02-22,17256,17582,17231,17482,60070,0.008654511885529681
2016-02-23,17456,17607,17381,17507,27560,0.001430042329253034
2016-02-24,17557,17582,17331,17507,24701,0.0
2016-02-25,17356,18207,17356,17982,32620,0.02713200434112073
2016-02-26,18207,18257,17906,18107,44549,0.006951395840284702
2016-02-29,18081,18357,17981,18357,28560,0.013806815043905685
2016-03-02,18432,18507,18256,18407,42700,0.002723756605109706
2016-03-03,18431,18832,18406,18707,26764,0.01629814744390723
2016-03-04,18731,18957,18656,18782,24449,0.004009194419201334
2016-03-07,18556,18982,18556,18832,16645,0.002662123309551623
2016-03-08,18907,18907,18631,18782,21067,-0.0026550552251486392
2016-03-09,18732,19283,18657,19283,21123,0.0266744755617081
2016-03-10,19283,19608,19082,19108,66348,-0.009075351345744997
2016-03-11,19107,19233,18907,19158,12770,0.002616705045007217
2016-03-14,19332,19482,18756,18857,15541,-0.015711452134878345
2016-03-15,18706,18982,18706,18782,32968,-0.0039773028583549586
2016-03-16,18906,19382,18781,19032,23186,0.013310616547758558
