Date,Open,High,Low,Close,Volume,Change
2016-01-04,2985,2985,2985,2985,0,0.0
2016-01-05,2985,2985,2985,2985,0,0.0
2016-01-06,2985,2985,2985,2985,0,0.0
2016-01-07,2985,2985,2985,2985,0,0.0
2016-01-08,2985,2985,2985,2985,0,0.0
2016-01-11,2985,2985,2985,2985,0,0.0
2016-01-12,2985,2985,2985,2985,0,0.0
2016-01-13,2985,2985,2985,2985,0,0.0
2016-01-14,2985,2985,2985,2985,0,0.0
2016-01-15,2985,2985,2985,2985,0,0.0
2016-01-18,2985,2985,2985,2985,0,0.0
2016-01-19,2985,2985,2985,2985,0,0.0
2016-01-20,2985,2985,2985,2985,0,0.0
2016-01-21,2985,2985,2985,2985,0,0.0
2016-01-22,2985,2985,2985,2985,0,0.0
2016-01-25,2985,2985,2985,2985,0,0.0
2016-01-26,2985,2985,2985,2985,0,0.0
2016-01-27,2985,2985,2985,2985,0,0.0
2016-01-28,2985,2985,2985,2985,0,0.0
2016-01-29,2985,2985,2985,2985,0,0.0
2016-02-01,2985,2985,2985,2985,0,0.0
2016-02-02,2985,2985,2985,2985,0,0.0
2016-02-03,2985,2985,2985,2985,0,0.0
2016-02-04,2985,2985,2985,2985,0,0.0
2016-02-05,2985,2985,2985,2985,0,0.0
2016-02-11,2985,2985,2985,2985,0,0.0
2016-02-12,2985,2985,2985,2985,0,0.0
2016-02-15,2985,2985,2985,2985,0,0.0
2016-02-16,2985,2985,2985,2985,0,0.0
2016-02-17,2985,2985,2985,2985,0,0.0
2016-02-18,2985,2985,2985,2985,0,0.0
2016-02-19,2985,2985,2985,2985,0,0.0
2016-02-22,2985,2985,2985,2985,0,0.0
2016-02-23,2985,2985,2985,2985,0,0.0
2016-02-24,2985,2985,2985,2985,0,0.0
2016-02-25,2985,2985,2985,2985,10000,0.0
2016-02-26,2985,2985,2985,2985,0,0.0
2016-02-29,2985,2985,2985,2985,0,0.0
2016-03-02,2985,2985,2985,2985,0,0.0
2016-03-03,2985,2985,2985,2985,0,0.0
2016-03-04,2985,2985,2985,2985,0,0.0
2016-03-07,2985,2985,2985,2985,0,0.0
2016-03-08,2985,2985,2985,2985,0,0.0
2016-03-09,2985,2985,2985,2985,0,0.0
2016-03-10,2985,2985,2985,2985,0,0.0
2016-03-11,2985,2985,2985,2985,0,0.0
2016-03-14,2985,2985,2985,2985,0,0.0
2016-03-15,2985,2985,2985,2985,0,0.0
2016-03-16,2985,2985,2985,2985,0,0.0
2016-03-17,2985,2985,2985,2985,0,0.0
2016-03-18,2985,2985,2985,2985,0,0.0
2016-03-21,2985,2985,2985,2985,0,0.0
2016-03-22,2985,2985,2985,2985,0,0.0
2016-03-23,2985,2985,2985,2985,0,0.0
2016-03-24,2985,2985,2985,2985,0,0.0
2016-03-25,2985,2985,2985,2985,0,0.0
2016-03-28,2985,2985,2985,2985,0,0.0
2016-03-29,2985,2985,2985,2985,0,0.0
2016-03-30,2985,2985,2985,2985,0,0.0
2016-03-31,2985,2985,2985,2985,0,0.0
2016-04-01,2985,2985,2985,2985,0,0.0
2016-04-04,2985,2985,2985,2985,0,0.0
2016-04-05,2985,2985,2985,2985,0,0.0
2016-04-06,2985,2985,2985,2985,0,0.0
2016-04-07,2985,2985,2985,2985,0,0.0
2016-04-08,2985,2985,2985,2985,0,0.0
2016-04-11,2985,2985,2985,2985,0,0.0
2016-04-12,2985,2985,2985,2985,11001,0.0
2016-04-14,2985,2985,2985,2985,0,0.0
2016-04-15,2985,2985,2985,2985,0,0.0
2016-04-18,2985,2985,2985,2985,0,0.0
2016-04-19,2545,2545,2545,2545,1,-0.1474036850921273
2016-04-20,2545,2545,2170,2170,10001,-0.1473477406679764
2016-04-21,2170,2170,1850,1850,10001,-0.14746543778801846
2016-04-22,1580,1580,1580,1580,1,-0.1459459459459459
2016-04-25,1350,1350,1350,1350,1,-0.14556962025316456
2016-04-26,1155,1155,1155,1155,1,-0.1444444444444445
2016-04-27,1155,1155,986,986,20756,-0.1463203463203463
2016-04-28,1130,1130,1070,1070,891,0.0851926977687627
2016-04-29,1130,1130,1070,1070,891,0.0
2016-05-02,1100,1100,1100,1100,420,0.028037383177569986
2016-05-03,1260,1260,1260,1260,0,0.1454545454545455
2016-05-04,1425,1425,1425,1425,0,0.13095238095238093
2016-05-09,1550,1550,1550,1550,0,0.08771929824561409
2016-05-10,1550,1550,1550,1550,0,0.0
2016-05-11,1550,1550,1550,1550,0,0.0
2016-05-12,1775,1775,1775,1775,0,0.14516129032258074
2016-05-13,2035,2035,2035,2035,0,0.14647887323943665
2016-05-16,2245,2245,2245,2245,0,0.10319410319410327
2016-05-17,2245,2245,2245,2245,0,0.0
2016-05-18,2245,2245,2245,2245,0,0.0
2016-05-19,2245,2245,2245,2245,0,0.0
2016-05-20,2245,2245,2245,2245,0,0.0
2016-05-23,2245,2245,2245,2245,0,0.0
2016-05-24,2245,2245,2245,2245,0,0.0
2016-05-25,2245,2245,2245,2245,0,0.0
2016-05-26,2515,2515,2515,2515,0,0.12026726057906467
