종목코드,날짜,기간수익률,표준편차,Y4,그룹,성과
000020,2023-12-31,-0.49575688596439615,0.014116923825152073,0.04997951254809371,G4,-37.292585006650015
000040,2023-12-31,-0.689752251169987,0.03964665766869491,-0.15173995624800438,G1,-18.17182051026581
000050,2023-12-31,-0.28838602759683507,0.02033787108081114,-0.011146453235165438,G2,-15.689239161093129
000070,2023-12-31,-0.04474105433225004,0.016449131866582638,0.04419487116275889,G4,-4.586305876907873
000080,2023-12-31,-0.13765068949849263,0.014727429251270336,0.010573987070939494,G3,-11.431077511471447
000100,2023-12-31,0.7761488391359841,0.0335776878330744,0.047629054204464796,G4,22.20072885972267
000120,2023-12-31,-0.3928162375628079,0.02370499844178311,0.025954986895829566,G3,-17.866102561466406
000140,2023-12-31,0.048627772266361016,0.010270016012122242,0.004602247646507048,G2,1.7456717134334627
000150,2023-12-31,1.3705814161546657,0.0448493758052443,0.009618393056749257,G3,29.875147564049286
000180,2023-12-31,-0.2780162250323933,0.020834402044203407,-0.031235623714695394,G2,-14.8176040855358
000210,2023-12-31,-0.3851271217297392,0.02627659875025851,-0.009982056525981694,G2,-15.824986388055217
000220,2023-12-31,-0.07734640358610165,0.021636390900010884,-0.027952590564179577,G2,-4.9937209908487
000230,2023-12-31,-0.3670706900218579,0.030004941927664886,-0.13544731196732163,G1,-13.25682905163698
000240,2023-12-31,0.1581005112705987,0.02269034210618325,0.04034356476518334,G4,5.614759568494596
000250,2023-12-31,1.2371145520867752,0.054583805109556564,-0.010263552883886777,G2,22.102065875544188
000270,2023-12-31,0.09620289441577576,0.024269760276509275,0.10886833287555094,G5,2.698963560084517
000300,2023-12-31,0.4841832424475876,0.030187262084318534,-2.385297450688655,G1,15.022347683053692
000320,2023-12-31,0.15682789431581295,0.016235267691031424,0.043471076131582125,G4,7.768778494979626
000390,2023-12-31,0.08582711921282024,0.03717143360103876,0.027311815892190835,G3,1.4830588453222644
000430,2023-12-31,-0.27229909890749227,0.022140399163795014,0.03681793405237888,G4,-13.685335683579732
000440,2023-12-31,0.120801025929167,0.04809685771168136,-0.004082478058564282,G2,1.873330907640427
000480,2023-12-31,-0.12319575730710608,0.013313786183852379,0.01656039176591464,G3,-11.559105050916967
000490,2023-12-31,-0.22956868224782123,0.03137903841680349,0.0060926473331657715,G3,-8.294338870688206
000500,2023-12-31,1.4611797256266097,0.05753248604485231,0.022322547729940894,G3,24.863866106775177
000520,2023-12-31,0.9036350982673576,0.0412398632945599,0.004487803775551615,G2,21.167271972141073
000590,2023-12-31,0.10407744839068002,0.011557289364616597,0.05768428698344435,G4,6.349045200671393
000640,2023-12-31,-0.007492019409466047,0.018457206921607894,0.02854369140979641,G3,-2.069203395138048
000660,2023-12-31,0.47786493037348543,0.0321976061828095,-0.09107477297580444,G1,13.888151560619411
000670,2023-12-31,0.0643386077639953,0.043676889223003335,-0.014972595405655873,G2,0.7701764604789709
000680,2023-12-31,0.12924795101697062,0.04459217250660138,0.008176617224951836,G3,2.2099899973451875
000700,2023-12-31,-0.07252560319217681,0.010402858220525571,0.04521838260660152,G4,-9.922782452806722
000720,2023-12-31,-0.070536132928536,0.018877442436181963,0.027589919161255597,G3,-5.362793667005976
000760,2023-12-31,-0.3173573029860076,0.018309341942309453,-0.007906183848679263,G2,-19.0098038422235
000850,2023-12-31,-0.08789086115763399,0.0269495917944117,0.022770974876177876,G3,-4.400458377247686
000860,2023-12-31,0.2683888456630616,0.018894264808656202,0.02204153690898216,G3,12.57996287511946
000880,2023-12-31,0.23776042526778385,0.023005601726927748,0.00779788992988586,G3,9.000448321589936
000890,2023-12-31,-0.02949789260523894,0.027190623607188227,-0.024808441735524992,G2,-2.2139098128965067
000910,2023-12-31,0.009553797583587334,0.027382590019526684,-0.006692310614497028,G2,-0.77223879183174
000950,2023-12-31,-0.18217702938228156,0.01774864054062388,-0.08099358450481689,G1,-11.993973550398428
000970,2023-12-31,-0.10590276155075048,0.010891160702252637,0.04012830442098627,G4,-12.542506818395147
000990,2023-12-31,-0.4650338996272295,0.031776800265851925,0.1292708256856946,G5,-15.60048813276668
001020,2023-12-31,-0.0661853859043907,0.018629784945105983,0.030980916080565888,G3,-5.200547510739395
001040,2023-12-31,0.14575495047947062,0.032338979805490636,0.011114961135392974,G3,3.557788630130058
001060,2023-12-31,-0.33032276878258443,0.025883976094052016,0.059578214197805554,G4,-13.947720523626806
001070,2023-12-31,-0.3256379778503252,0.013404781117987142,-0.020314977822214347,G2,-26.582878939340958
001120,2023-12-31,-0.1054021242465543,0.021237472765857447,0.024183935175343688,G3,-6.408569492451555
001130,2023-12-31,0.0076541618517392135,0.011730766592489238,0.0579742928780082,G4,-1.964537763500166
001140,2023-12-31,0.011565203336422192,0.027454574357886338,-0.34525436052365727,G1,-0.6969509791570271
001210,2023-12-31,0.1942701988044656,0.035835916892847174,-0.3467020747415016,G1,4.564429130586126
001230,2023-12-31,-0.13916365574505293,0.0202791295419653,0.09562814419782659,G5,-8.376264435365975
001250,2023-12-31,0.24844199420396262,0.041107691525765454,0.01861300478922343,G3,5.296874874377116
001260,2023-12-31,0.19244640931086004,0.0388967059522636,0.015871074007964565,G3,4.1583653302640835
001340,2023-12-31,-0.034064612329760546,0.04127967728987801,0.01810415954748838,G3,-1.568915078779736
001380,2023-12-31,1.3340134066598663,0.05891486787911473,0.1017675998066439,G5,22.121983087810666
001390,2023-12-31,-0.5509170391923528,0.021163224093245992,0.04485916246155661,G4,-27.482425761179734
001430,2023-12-31,-0.15782758838274819,0.0274699032820109,0.034375299843759796,G4,-6.863048706971558
001440,2023-12-31,0.5252471277726076,0.036461144541118186,0.038259519459826016,G4,13.563683701629362
001460,2023-12-31,-0.32199029511729393,0.02009764444183968,0.03451636000455119,G4,-17.548822298823602
001470,2023-12-31,-0.31035933927498205,0.06863922254205966,-0.216076701422855,G1,-4.968865066667732
