종목코드,날짜,기간수익률,표준편차,Y3,그룹,성과
000020,2020-12-31,-0.1798220207317664,0.031081765904257434,0.08379512764715773,G4,-6.233239566172314
000040,2020-12-31,-0.15212656039212621,0.032184426609837724,-0.23043433794235932,G1,-5.159160816943945
000050,2020-12-31,0.14168174078359586,0.01766710691474699,0.01755651626646081,G3,7.231725551385726
000070,2020-12-31,0.3802153002036797,0.02928435882986465,0.06645600887286174,G4,12.508289153354024
000080,2020-12-31,-0.019074648161529068,0.017061458790014843,0.08063879234726663,G4,-1.9337572980567495
000100,2020-12-31,-0.11283569402771439,0.016449331726491646,0.1031149261288979,G4,-7.705709169493741
000120,2020-12-31,-0.23773151603160628,0.01685441008535805,0.03530328704886811,G3,-14.930785892018772
000140,2020-12-31,-0.17574320031906882,0.01665509903121285,0.10155899749791163,G4,-11.387579998941261
000150,2020-12-31,0.957869072163812,0.03468837891653973,-0.09702290749432654,G2,27.212312288960007
000180,2020-12-31,0.15209421557364422,0.0224955617210354,0.009502311403489394,G3,6.14237354896901
000220,2020-12-31,0.27257345736784766,0.046074849069158215,0.0206141386891255,G3,5.61380862453722
000230,2020-12-31,0.14430418497375683,0.025152394745265393,-0.10232526686227102,G2,5.183844878593267
000240,2020-12-31,0.15358111387959122,0.025946482857447824,0.04163913054127917,G3,5.382735007197515
000250,2020-12-31,-0.5166161974771339,0.031332052421655245,0.029084607248069185,G3,-16.93263698868352
000270,2020-12-31,0.3582127357283338,0.025975245323958493,0.049765867897921534,G4,13.25472229983576
000300,2020-12-31,0.760594796994111,0.04507912724557029,-0.04742529260739394,G2,16.56369078836429
000320,2020-12-31,0.2064921557013096,0.021065755008665133,0.050344375161907075,G4,9.14157044610744
000390,2020-12-31,-0.33138418558023075,0.02721443668401227,0.022177405246947963,G3,-12.688201555619298
000430,2020-12-31,0.024491232580060945,0.020097641581365303,-0.0046670740616455405,G2,0.5260896035039182
000440,2020-12-31,0.9265692290087078,0.049603728118319895,0.31166733090852894,G5,18.39884200926596
000480,2020-12-31,0.015227676107833404,0.009144325624365695,0.054190341620146784,G4,0.1432149151805421
000490,2020-12-31,0.5103448587028616,0.03094300073157924,0.06397212101302932,G4,16.043265833202494
000500,2020-12-31,0.2241889983545079,0.03428861314806597,0.036065747274901146,G3,6.132383516281453
000520,2020-12-31,-0.16415736706959616,0.019680352186924932,0.021094226897769273,G3,-9.048386820895464
000590,2020-12-31,0.13109014618227927,0.020031046854735217,0.0400438128616346,G3,5.8495232297569055
000640,2020-12-31,-0.005385865076692781,0.02162968760043945,0.18269120570275768,G5,-0.8924741643266819
000660,2020-12-31,0.1644004683267076,0.022852982987643138,0.09167784213237229,G4,6.584803223234292
000670,2020-12-31,0.2419219292014803,0.019135043031914226,0.022992050841414292,G3,11.915513152076498
000680,2020-12-31,0.29217553788295564,0.03999246849745182,-0.050016527492964855,G2,6.957746697019431
000720,2020-12-31,0.25136193007492935,0.020685503761771258,0.025973897087257704,G3,11.478756356158517
000760,2020-12-31,0.044076605852651385,0.023988197469627756,-0.02464909601610404,G2,1.2572238327485623
000850,2020-12-31,0.07278587924073232,0.011819236604819044,0.01524757075429803,G3,4.9806775953341695
000860,2020-12-31,0.18489947034990467,0.02197517505439475,0.043034415659577274,G3,7.78066147994366
000880,2020-12-31,0.16235135888427105,0.02193808673990237,0.04001151335820798,G3,6.7660087388174395
000890,2020-12-31,0.10281730399275452,0.031597293840091675,0.02182854113785822,G3,2.81350776916217
000910,2020-12-31,0.466386955293295,0.044795242977510225,0.08770430348080145,G4,10.100824394038975
000950,2020-12-31,0.34754167438591516,0.02015132327988727,0.04206639847709686,G3,16.555915334341503
