,0
639,004650
640,009780
641,003780
642,060250
643,019540
644,383310
645,196700
646,012330
647,348350
648,031820
649,368770
650,086280
651,003300
652,277070
653,064400
654,005290
655,051310
656,090430
657,007340
658,009470
659,078930
660,362990
661,111110
662,123420
663,340570
664,012450
665,011760
666,021820
667,302550
668,336680
669,049770
