종목코드,날짜,Y1,그룹,기간수익률,표준편차,성과
000020,2020-06-30,0.09622408898795332,G3,0.4060989766123298,0.05980809707511459,6.647282555454354
000040,2020-06-30,0.00490952367237149,G1,0.23737074267838476,0.05686335578708569,4.024262783315285
000050,2020-06-30,0.06484492505780375,G3,-0.11219588615310158,0.028160508201221453,-4.287335354191683
000070,2020-06-30,0.048537674636920866,G2,0.1846604047239146,0.04876646876935832,3.611554269120644
000080,2020-06-30,0.05992519001848646,G3,-0.1670342167053966,0.026489912810024604,-6.6278765888936695
000100,2020-06-30,0.08255875519419872,G3,0.26825151988188867,0.031330264569772455,8.289552201307023
000120,2020-06-30,0.013667350063992964,G1,0.13349278340151488,0.021080871947849026,5.927417398133981
000140,2020-06-30,0.06368353899098221,G3,-0.22917702043701188,0.023578661674183876,-10.081771390243244
000150,2020-06-30,0.056344498527663045,G2,0.2849407296360562,0.05101320010975418,5.418265719291849
000180,2020-06-30,0.04085887659140436,G2,0.1426744696258005,0.028735453807265113,4.66799008205978
000210,2020-06-30,0.07397815617635319,G3,-0.03343620250269345,0.030232042511619515,-1.3883897767264988
000220,2020-06-30,0.027584043401581507,G1,0.27359634726567056,0.05744053175227674,4.614488810075555
000230,2020-06-30,0.040087185627736076,G2,0.010658237139592137,0.01933173108151751,0.10969430935337046
000250,2020-06-30,0.09814879206162676,G3,0.4533488583625733,0.039013170963892466,11.401564936217458
000270,2020-06-30,0.011110103483723627,G1,0.40457365245234783,0.02703497813165436,14.649022250868494
000300,2020-06-30,0.18731841631125662,G4,0.31556250936420893,0.056844167090506575,5.401167240701545
000320,2020-06-30,0.021664568749105165,G1,-0.016670448361862697,0.007543824798064629,-3.341554885835874
000390,2020-06-30,0.02756685052591714,G1,0.05085212061029571,0.015221624924311786,2.77989140914329
000430,2020-06-30,0.0493684652434921,G2,0.31820746914721176,0.0325951977967096,9.500473500070987
000440,2020-06-30,0.012739049185291278,G1,-0.1448376929297072,0.019617223999130698,-7.81840229721105
000480,2020-06-30,0.21966347382812818,G4,0.022587561043223993,0.010156144254495002,1.383389644845352
000490,2020-06-30,0.07201016727399752,G3,0.09949731926399571,0.033393896543284445,2.7238409538729864
000500,2020-06-30,0.02330179547936143,G1,0.341012048223568,0.03837018544385307,8.664914910564516
000520,2020-06-30,0.010383180382180082,G1,0.25070366380042797,0.036298402593936276,6.671533462766825
000590,2020-06-30,0.11127372493169124,G3,-0.09663744692709267,0.021909197989989353,-4.800499919036231
000640,2020-06-30,0.032082820611553126,G2,0.3019856373979675,0.030797189975074413,9.528401175089954
000660,2020-06-30,0.14689537042437756,G4,-0.0030699793456496205,0.0177416038703091,-0.6542607805078547
000670,2020-06-30,0.04260088370418276,G2,0.027396136320542885,0.020699367522493736,0.9110655216904395
000680,2020-06-30,0.07982067240920959,G3,0.03633625774251882,0.02891436481032292,0.9614114532647197
000720,2020-06-30,0.015278324879240341,G1,-0.07007640587964953,0.019342941175769787,-4.0642248464326896
000760,2020-06-30,0.0697788592677225,G3,-0.014707677131195591,0.017737765465574307,-1.3104995342457557
000850,2020-06-30,0.09786176132342769,G3,0.015210747351765988,0.01297403756206271,0.5143418977973933
000860,2020-06-30,0.09062647255954881,G3,0.08459723661964541,0.014139658387323544,5.379166758217737
000880,2020-06-30,0.03187329995677987,G2,0.15329764016410413,0.029035362322124916,4.985644136556794
000890,2020-06-30,0.0020307598453682386,G1,0.2041481199537683,0.031160737845950397,6.277465722115099
000910,2020-06-30,0.023960193339596373,G1,0.47790139443431934,0.06858630866457792,6.843402820812938
000950,2020-06-30,0.18550493790764483,G4,0.4685387460564414,0.06924013868673748,6.643561069217671
000970,2020-06-30,0.013367227395925151,G1,-0.01924142548153432,0.025607370496605365,-1.0848080530258597
000990,2020-06-30,0.20836904282930283,G4,0.2977222408469409,0.033733177120020365,8.57270525002853
001020,2020-06-30,0.031399881823010393,G2,0.450110423557478,0.05072814487213727,8.704689840728129
