종목코드,날짜,Y4,그룹,기간수익률,표준편차,성과
000040,2016-03-31,0.02382553923030903,G4,0.0318276674452873,0.018914174677257804,0.9604609395785938
000050,2016-03-31,0.0023371119228433853,G1,-0.11380049742931969,0.02187202503287936,-5.82761946829916
000070,2016-03-31,0.007622249982806591,G2,-0.25360261951194074,0.0184176283812936,-14.511312501386433
000080,2016-03-31,0.001810059056656868,G1,-0.237768773355552,0.017293047323106506,-14.539375861362064
000100,2016-03-31,0.026659100666764,G5,0.09894572574801969,0.01712422839876073,4.980334430179466
000120,2016-03-31,0.005195609585306556,G2,0.0680223181014695,0.018767851071253,2.8964944591509685
000140,2016-03-31,6.323098337519654e-05,G1,-0.10350831741796249,0.01613297495779329,-7.262743492004024
000150,2016-03-31,0.008215698075380333,G2,0.2702136175147186,0.026913946712327778,9.532317158590185
000180,2016-03-31,0.00043937311101044407,G1,-0.23685192818965425,0.04503251647988048,-5.562941830377003
000210,2016-03-31,0.0025167756030636665,G1,-0.058942822416274576,0.022115501170794465,-3.2829535862189556
000230,2016-03-31,0.009632647876287585,G3,0.04589594729092139,0.018468449836362085,1.7453877349273155
000250,2016-03-31,0.025291449542094765,G5,0.1782625840025424,0.02423799202134409,6.7910428551250925
000270,2016-03-31,0.019563289691435965,G4,-0.12945101046331478,0.012814794503238431,-11.167744585413637
000300,2016-03-31,0.010433061565156717,G3,0.10527350479350207,0.028339135815539186,3.2327084328327964
000390,2016-03-31,0.004529574447444256,G2,-0.0647273404613482,0.01903664814375909,-4.117777527472004
000430,2016-03-31,0.0070554946727859795,G2,0.05184968449195692,0.008294983897235878,4.6037874818862194
000480,2016-03-31,0.0027135221843849595,G1,-0.10456549002328469,0.010477338778391866,-11.284051607697043
000490,2016-03-31,0.00482486453750121,G2,-0.0339515935684228,0.01767959219124622,-2.693101431118543
000500,2016-03-31,0.0076053791027559025,G2,0.16243682481482807,0.015429995253720566,9.641965593964773
000520,2016-03-31,0.005521370805138345,G2,0.12243145940475264,0.02852090326621847,3.81369821727107
000590,2016-03-31,0.01745371263948402,G4,0.04357278291893888,0.008233272922399122,3.6329952544325788
000640,2016-03-31,0.012523665982816538,G3,-0.21504108861560822,0.02214085914068096,-10.329428890986971
000660,2016-03-31,0.01503561270173777,G4,0.21812414804560987,0.02079359648882346,9.832969813187143
000670,2016-03-31,0.006711785793546747,G2,0.04117590229559459,0.018140204774189164,1.5167723393800456
000680,2016-03-31,0.0021328274356401267,G1,-0.05162099965322513,0.012759529015441293,-5.116359783941597
000700,2016-03-31,0.02082183412538811,G4,0.11242178024285923,0.028627899196719965,3.449796930637511
000720,2016-03-31,0.004528513864432539,G2,-0.11457140648068094,0.022775493692623293,-5.630294986124872
000850,2016-03-31,0.006841078856899594,G2,-0.1414239453083145,0.010443286030355626,-14.850238356101793
000860,2016-03-31,0.01542955245765482,G4,-0.06268275528398719,0.01544830223037454,-4.941908541722702
000880,2016-03-31,0.0027011131726708023,G1,0.01918821371044915,0.020200333026119288,0.2736030262416076
000890,2016-03-31,0.0020769535992881238,G1,-0.2186755498036583,0.020231951466831932,-11.483661951639407
000910,2016-03-31,0.0036596868377642656,G1,-0.09163886801829212,0.015530801213674601,-6.780088678811479
