종목코드,날짜,Y3,그룹,기간수익률,표준편차,성과
000020,2021-06-30,0.02005215773178753,G2,0.17138720999760246,0.03701318864373609,4.239812616568734
000040,2021-06-30,0.02657242089441841,G3,-0.17998691738472633,0.016309400803740617,-11.922273879404647
000050,2021-06-30,0.013803888176291893,G2,-0.023997272893604697,0.016320667951225814,-2.3562453947951307
000070,2021-06-30,0.03712310528339075,G4,0.0334286211944108,0.02837115943178771,0.6686506920370804
000080,2021-06-30,0.02203755378800444,G3,-0.12144473743678871,0.01523317081622898,-8.921515085910626
000100,2021-06-30,0.017584652917938797,G2,-0.017959276611768424,0.015984131070062992,-2.028105392537442
000120,2021-06-30,0.012704194238735946,G2,-0.13933326195435147,0.0142532878423294,-10.789895598970032
000140,2021-06-30,0.021739765885065217,G2,-0.1801302773984999,0.014042781512430193,-13.856834775411722
000150,2021-06-30,0.022581730206768007,G3,0.07130147310255497,0.032380935258279474,1.7554541535846815
000180,2021-06-30,0.009499188853219391,G1,0.019549795149746172,0.02157919547734986,0.23594806157805212
000210,2021-06-30,0.10559541273693789,G5,-0.04247878686855139,0.018345797499056123,-3.1035452494192395
000220,2021-06-30,0.002576404802650011,G1,-0.16333585230607714,0.02753235257889752,-6.457642063206796
000230,2021-06-30,0.017786113998670243,G2,-0.08415528121828479,0.0165967179732911,-5.941747469796976
000250,2021-06-30,0.005494288914842283,G1,-0.049298870993885704,0.036156140018441404,-1.7633822849402083
000300,2021-06-30,0.005165281481866765,G1,-0.02705355569004661,0.03732980209496358,-1.1120279017524943
000320,2021-06-30,0.00724840861433841,G1,-0.15822797087179946,0.0158679941355969,-10.882673336188196
000390,2021-06-30,0.004998291551228261,G1,-0.2173539762836971,0.01757076625934432,-13.193061626829651
000430,2021-06-30,0.004313040042437449,G1,-0.023003732162407895,0.01630265084790513,-2.2979059245247413
000440,2021-06-30,0.004308911194195022,G1,0.021740561118599306,0.04989488209157059,0.1459535528871007
000480,2021-06-30,0.025177819410125202,G3,-0.031245759638666198,0.006188899365121981,-7.384832544327047
000490,2021-06-30,0.046210156707534845,G4,-0.0842785642959838,0.03530659518478738,-2.7965537199400723
000500,2021-06-30,0.00672528141538246,G1,-0.13857441066107035,0.021216386530468312,-7.21294534522906
000520,2021-06-30,0.016619877291244103,G2,-0.0989631958656727,0.024594817681985407,-4.611598391932801
000590,2021-06-30,0.017278986497562012,G2,-0.08418394636450596,0.014351151227731871,-6.873467543171272
000640,2021-06-30,0.01731807269674833,G2,-0.027799100028138575,0.021379851609426046,-1.9765022978905793
000660,2021-06-30,0.0362335269640042,G4,-0.2014463950086825,0.01941253270673875,-11.121919230054214
000670,2021-06-30,0.013233724041759935,G2,0.04279484747435372,0.020176804542800297,1.404415729348654
000680,2021-06-30,0.03925144074096979,G4,-0.3717055971772795,0.030550009745985502,-12.640382971873715
