종목코드,날짜,Y2,그룹,기간수익률,표준편차,성과
000040,2015-12-31,0.19905704466354188,G5,-0.09254072509705813,0.02257703089039674,-4.098888181812287
000050,2015-12-31,0.10894419694922694,G4,0.03566284665836883,0.022651991853693477,1.5743801643895565
000070,2015-12-31,0.04903329195308932,G3,0.03394426465267564,0.03841623867053513,0.883591570319729
000100,2015-12-31,0.07604766020112122,G4,0.055380195235881335,0.02965884634047269,1.8672403707189749
000120,2015-12-31,0.03691501998235046,G2,0.009739748358353895,0.02264487639718741,0.43010825881847664
000140,2015-12-31,0.07569527144295775,G4,0.13528462846803846,0.024367474107431956,5.551852763712483
000150,2015-12-31,0.013954533214151119,G1,0.021520006306286255,0.0276775928585364,0.7775244912474025
000180,2015-12-31,0.017284638811175135,G1,0.407952189768065,0.04899416092038181,8.326547125299475
000210,2015-12-31,0.028566084489807814,G2,0.32898276930220005,0.02901102031220615,11.339924130961476
000220,2015-12-31,0.021824473389736802,G1,0.010959579118275498,0.04052903227204698,0.27041304723760595
000230,2015-12-31,0.04980556067962218,G3,0.11223601940799677,0.026495411148411023,4.236055020219143
000250,2015-12-31,0.1572194498859687,G5,-0.06466873641640747,0.02506038707893601,-2.580516263085315
000270,2015-12-31,0.04754047271680086,G3,-0.07198268993349244,0.021233560410892343,-3.390043334257166
000300,2015-12-31,0.0029448510361476956,G1,0.015312645589172558,0.019322147815460707,0.7924918976616084
000320,2015-12-31,0.039840998915359235,G2,-0.08864376335878665,0.020277612073304332,-4.371508984309203
000360,2015-12-31,0.036041777584827725,G2,0.0,,
000390,2015-12-31,0.06248407497896011,G3,-0.008668351611186398,0.019443959484152853,-0.44581205891995646
000420,2015-12-31,0.368399225808066,G5,0.0,,
000430,2015-12-31,0.05211890893586496,G3,-0.052791572023425215,0.01085787954079107,-4.862051731656897
000440,2015-12-31,0.023595699141412255,G2,0.042444081030023506,0.012153309908129956,3.492388604492883
000480,2015-12-31,0.03551547741812438,G2,0.08069741776985684,0.015267359232242827,5.28561727947251
000490,2015-12-31,0.009311894785230488,G1,-0.08786431506912329,0.01653118738714436,-5.315063764714918
000500,2015-12-31,0.012648102215116159,G1,-0.004002118983078673,0.01386203651870775,-0.2887107516761729
000520,2015-12-31,0.018180767662477965,G1,0.2439253585648795,0.023758330552290225,10.266940180330385
000590,2015-12-31,0.16332930873609164,G5,-0.056689172659496134,0.01541790050776543,-3.6768412554578283
000640,2015-12-31,0.09132437073439828,G4,0.2402334027714711,0.0361563541208035,6.644292783747423
000660,2015-12-31,0.2838653350213145,G5,-0.0730337020735754,0.022746039375413443,-3.210831603172142
000670,2015-12-31,0.0021114698619780024,G1,0.007971870694987393,0.020664645432525542,0.3857734080663152
000680,2015-12-31,0.08441873480198986,G4,-0.020963652123507703,0.016755285938937305,-1.251166479635579
000700,2015-12-31,0.1301251136412328,G5,0.25908320425793996,0.036209658119715625,7.155085623878701
000720,2015-12-31,0.05663795586585266,G3,0.41912568554448737,0.031056596154904564,13.495544825774399
000760,2015-12-31,0.0004336787484902208,G1,0.186844852070843,0.050098561957801525,3.729545215853184
000800,2015-12-31,0.5103747514019332,G5,0.0,,
000850,2015-12-31,0.055601682586083806,G3,0.05817401459075877,0.016967259250708508,3.428604097525626
000860,2015-12-31,0.09506225260718625,G4,0.01257063703445549,0.017279776779590098,0.7274768184102482
000880,2015-12-31,0.018330547196500565,G1,-0.08427440896302396,0.025899732894002176,-3.253871740991588
000890,2015-12-31,0.06594324007234882,G3,-0.10598565856335629,0.03148930848697289,-3.3657664666470044
000910,2015-12-31,0.0031076194668545215,G1,0.019990125383847923,0.017148571575868483,1.1657020700183613
000950,2015-12-31,0.04425843469422621,G2,-0.2564630321235555,0.01802492400370053,-14.228244849792622
000970,2015-12-31,0.03278878664930696,G2,-0.00900419208663572,0.026708018928128806,-0.3371344056204982
001020,2015-12-31,0.18880925157227638,G5,0.053312463614940464,0.02165930183934118,2.461411914861707
001040,2015-12-31,0.057889507979928756,G3,-0.22634289187658818,0.028007339170449144,-8.081556427016997
001060,2015-12-31,0.04955600953981735,G3,-0.007158568309535096,0.031625231965249585,-0.22635623091716983
001070,2015-12-31,0.017568683902042297,G1,-0.2254397835590327,0.02202159721060943,-10.237213105070404
001080,2015-12-31,0.029412161320676426,G2,0.05196318218469553,0.016762538990754715,3.099958915135442
001120,2015-12-31,0.006177333373522866,G1,0.0791316510411415,0.02713080154551007,2.9166720676646265
001130,2015-12-31,0.05725716511947419,G3,0.07445697344308688,0.017249635351007094,4.316437532039761
001140,2015-12-31,0.026876308499183557,G2,0.008079142975637499,0.04190984063766775,0.19277436641875756
001210,2015-12-31,0.03177940437204823,G2,-0.020866255891037855,0.01828808843327851,-1.1409752291588824
001230,2015-12-31,0.0338517297338525,G2,0.19386997302730868,0.025137084828899137,7.712508206378166
001250,2015-12-31,0.012779943665695993,G1,-0.17802579936751017,0.03553872446716262,-5.009346903601
001260,2015-12-31,0.16839805612185998,G5,-0.29776545798784604,0.030748600950202515,-9.683870120467542
001360,2015-12-31,0.044361450580266686,G2,-0.28886771950521306,0.03249829114065699,-8.888704893895946
001380,2015-12-31,0.04152165732166824,G2,-0.05087460174570868,0.03064674977406551,-1.6600325359383061
001390,2015-12-31,0.04471253917973707,G2,-0.020136897395014564,0.01771170170710505,-1.1369261817985927
001440,2015-12-31,0.016622526670740406,G1,0.7353236924646509,0.08576046086821763,8.574157426632462
001460,2015-12-31,0.11597764053894478,G4,0.13990836879085755,0.023368632127634643,5.987015757991608
