종목코드,날짜,기간수익률,표준편차,Y6,그룹,성과
000040,2018-06-30,-0.10453794148695375,0.020059399660726673,-0.14229491973177238,G1,-6.184211577718081
000070,2018-06-30,-0.320066135141595,0.022519295624744227,0.029137693124841085,G4,-15.079502082891558
000080,2018-06-30,-0.13196944979118447,0.016111105747863983,0.013533993940048021,G3,-9.402401194483776
000100,2018-06-30,0.21068829271812642,0.03394619171638626,0.017202885771674278,G3,5.631696897795392
000120,2018-06-30,0.030951476211046908,0.02069941121528459,0.006659366030506593,G2,0.5525686675384673
000140,2018-06-30,-0.09617049515104649,0.014219649922975922,0.011755342307921595,G3,-8.135511486897572
000150,2018-06-30,0.1566497489912036,0.021954706156065915,0.030756679359732822,G4,6.246319940671475
000180,2018-06-30,-0.2682515565390439,0.02047855104752778,-0.0033657621907225202,G2,-14.05202868152969
000210,2018-06-30,0.3561161988412372,0.01858889390692407,0.05116625781598083,G5,18.107724450397328
000220,2018-06-30,-0.057119855606327395,0.027882405645652534,0.012184756743177066,G3,-2.7484531541941215
000230,2018-06-30,-0.06566584448747581,0.01463781534463288,-0.0030063782722654676,G2,-5.819138486105723
000240,2018-06-30,-0.0671113654389878,0.014979485217376612,0.02189813006577133,G3,-5.782908712743127
000250,2018-06-30,0.3537672072947361,0.034596495498437456,0.03426124918929321,G4,9.661486585334815
000270,2018-06-30,0.1933996484114826,0.020105339371476495,0.016320332621116963,G3,8.648748228601848
000300,2018-06-30,-0.18464575683201678,0.028007596666243847,0.06859428200001103,G5,-7.289428986067417
000320,2018-06-30,-0.026064434075937698,0.014805576498184416,0.019546301224480138,G3,-3.078439006985858
000360,2018-06-30,,,0.19977342246166452,G5,
000390,2018-06-30,0.019492877898173507,0.024402391879123027,0.018288440253010362,G3,-0.0008504182260322616
000430,2018-06-30,0.06621357788929338,0.02337911777790836,0.009773351534936475,G2,1.9975068433264531
000480,2018-06-30,-0.0452043283529911,0.008004295432413057,0.02074340088162253,G3,-8.085403523201398
000490,2018-06-30,-0.10415238232152671,0.022342419522468633,0.04055143158538619,G4,-5.535032243672105
000500,2018-06-30,-0.2604366652889411,0.016969591461014507,0.005265113269615553,G2,-16.497173551235917
000520,2018-06-30,0.20524177228351598,0.04770381606820148,-0.03636138455509779,G1,3.8933602687256035
000590,2018-06-30,-0.19627991619813073,0.015465794588770619,0.014058001518516876,G3,-13.952955672371342
000640,2018-06-30,0.04862071189835901,0.018466582642469063,0.0323151486809273,G4,1.5762029350483535
000660,2018-06-30,-0.10473729691208312,0.02455702249653199,0.14477222782387109,G5,-5.059690239996176
000670,2018-06-30,-0.026144003983328917,0.015392101192332154,0.00038085224017071935,G2,-2.9663028815754124
000700,2018-06-30,0.43079591952650936,0.025222187517471854,0.03576951815113353,G4,16.30636871225466
000720,2018-06-30,0.14414499495346533,0.030122068155460403,0.03724204123891807,G4,4.137543417445803
000760,2018-06-30,0.028698898059024203,0.019018654979340938,0.0016179970032278058,G2,0.48296096290802
000850,2018-06-30,-0.24002049020149682,0.01282805486643763,0.02275211030837257,G3,-20.2317594554034
000860,2018-06-30,-0.03269886024491926,0.013794581479713448,0.019744168693023523,G3,-3.7849999623903163
000880,2018-06-30,0.13728814188236516,0.020123442665674472,0.04055300735638416,G4,5.85260254430881
000890,2018-06-30,1.03633228701457,0.05839756024432578,-0.24934877785647935,G1,17.412005786258565
000910,2018-06-30,0.2741740996643584,0.04692355180829495,-0.16495366703805248,G1,5.427135408840774
000970,2018-06-30,0.03607156440580561,0.032171234155154126,0.0042844156835694725,G2,0.5146813513266039
000990,2018-06-30,-0.34724804243753793,0.03140372970830063,0.06638494869931919,G5,-11.678920815497333
001020,2018-06-30,-0.19052427635868782,0.030581027043393282,-0.44314306028596634,G1,-6.868242397406684
001040,2018-06-30,-0.07747791748896851,0.019737597901916527,0.09068763374756089,G5,-4.914050235897089
001060,2018-06-30,0.20913687349623755,0.022441877068368886,0.029765571087185323,G4,8.449526872532388
001070,2018-06-30,0.2859531978656108,0.02426745739107861,-0.04240392377814195,G1,10.979294758196426
001120,2018-06-30,-0.3091695744929191,0.01924394299307865,0.03151933154677778,G4,-17.079826350978117
001130,2018-06-30,0.006757534461819311,0.012984847126456887,0.07012231907522397,G5,-0.9823832002747404
001140,2018-06-30,-0.125154909893649,0.040866525740913415,-0.12200969622182574,G1,-3.5400254219751486
001210,2018-06-30,-0.14656838359326138,0.02043510189781442,-0.0024822607561143066,G2,-8.127290705998902
001230,2018-06-30,0.05166106358022564,0.030268523634387146,-0.08978227259823242,G1,1.06207470940927
001250,2018-06-30,-0.19485764207581,0.024639211755285377,0.026706619820706316,G4,-8.700411130920669
