종목코드,날짜,기간수익률,표준편차,Y5,그룹,성과
000020,2022-09-30,0.1406521677254034,0.018271882832937774,0.1132428655808979,G4,5.619358719061859
000040,2022-09-30,-0.15490639215080648,0.026892200442040624,-0.10033821013349555,G1,-7.172425186290486
000050,2022-09-30,-0.05717854566646222,0.0160895564997529,-0.09738330850666865,G1,-5.914050476306255
000070,2022-09-30,0.152419283076369,0.01622795793232846,0.02178665355664912,G2,7.0522354038103146
000080,2022-09-30,0.0042713305520942785,0.017039449733587106,0.07126868036670427,G3,-1.9780317785689514
000100,2022-09-30,0.014447405779729099,0.013722983662450231,0.05047700317695236,G3,-1.7145322339127325
000120,2022-09-30,0.020483406926022928,0.023747239165760322,0.02741617499875001,G2,-0.7366118042747574
000150,2022-09-30,0.17987482699022356,0.03433424336361217,0.039214079162979934,G3,4.132868806019819
000180,2022-09-30,0.19798278155903082,0.021166934137079162,-0.05367712773787557,G1,7.5592845382497345
000210,2022-09-30,0.07586288407661568,0.01812642115119727,-0.022244064455370492,G2,2.0901522780549198
000220,2022-09-30,0.09743270481639964,0.015645216845140315,-0.05326805287130749,G1,3.8003181285665697
000230,2022-09-30,-0.23958781603623608,0.06174996036153811,-0.17483331000173705,G1,-4.494961908082109
000240,2022-09-30,0.09108493437072439,0.018960965551648327,0.3034987791542479,G5,2.8009665758635194
000250,2022-09-30,0.5006797683215954,0.04491063556077752,0.09958464362591442,G4,10.30276812896493
000270,2022-09-30,-0.058777234942466824,0.019101049550170102,0.031516712455003204,G3,-5.065331007220125
000300,2022-09-30,-0.034026720980916185,0.019019891096934072,0.08848995205031393,G4,-3.7856486258736015
000320,2022-09-30,-0.05644892934089212,0.018368692573159054,0.0536727663382511,G3,-5.140530964807297
000390,2022-09-30,0.06132202231864017,0.016229730127923676,0.04152220945335275,G3,1.4384785526417803
000430,2022-09-30,0.21727059570243426,0.03099232994503192,0.03399667536704475,G3,5.785131108437926
000440,2022-09-30,0.06834089009896328,0.040818187293610704,0.013891450374117577,G2,0.7439082550649796
000480,2022-09-30,0.0719815687899369,0.009398848368826155,0.08544332690168657,G4,3.6180672185613876
000490,2022-09-30,0.2825608748944862,0.031523531004812595,0.013823985868525955,G2,7.75880631020327
000500,2022-09-30,0.19938755819609913,0.03142535885955498,0.014705270524762273,G2,5.1363504010571885
000520,2022-09-30,0.058038630341099365,0.02966662508850401,-0.0335225987325448,G2,0.6762726352184888
000590,2022-09-30,0.17258074863131428,0.015578666631955328,0.28711960949524257,G5,8.640331563469742
000640,2022-09-30,0.010126793856875302,0.012375690667710845,0.1159133534284056,G4,-2.2503075186133286
000660,2022-09-30,0.083251548973855,0.022382160466038515,0.1532608514540308,G4,2.022845177439238
000670,2022-09-30,0.021617378517999802,0.03332564760680186,0.08534770195840094,G4,-0.49086893342529375
000680,2022-09-30,0.003280040328525172,0.02043216944633163,-0.04601930227011096,G2,-1.698099821316914
000720,2022-09-30,0.048092827977595856,0.028828010700692415,0.06427859095197726,G3,0.35094077313128774
000760,2022-09-30,0.03924096527307612,0.017455812280192197,-0.05835049935670062,G1,0.07247223092870976
000850,2022-09-30,0.09236949666790878,0.011870470506359638,0.08925985400835733,G4,4.582260915800215
000860,2022-09-30,0.04091556852569321,0.013131592312203805,-0.007195026559290135,G2,0.2238620299309337
000880,2022-09-30,0.16108024380245037,0.019095110686126775,0.04889979586044407,G3,6.446903723759606
000890,2022-09-30,0.05438226099733913,0.014916365426469742,0.0049656216983558115,G2,1.0998897461822374
000910,2022-09-30,0.07205989186496715,0.030768601558799152,-0.5137411169645746,G1,1.1077522709433003
000950,2022-09-30,-0.45350528471076457,0.024767932575660248,-0.55851340493168,G1,-19.84344825002499
000970,2022-09-30,0.0537878343434663,0.012325046196056249,-0.028177149442300247,G2,1.2829104635784614
000990,2022-09-30,0.2136330000629187,0.02382887208387558,0.5192637460003625,G5,7.371607679547861
001020,2022-09-30,0.10756238758794402,0.030632784042593876,0.01982515981664983,G2,2.271634333879953
001040,2022-09-30,0.18225058557805693,0.017109763083243964,0.03614621430752918,G3,8.432301561492167
001060,2022-09-30,0.14553835445691893,0.022018316855218104,0.06754204429270619,G3,4.885135024159213
