종목코드,날짜,기간수익률,표준편차,Y5,그룹,성과
000020,2019-09-30,0.011877214570146509,0.017065798931447194,0.009526374529596874,G2,-0.1262238433554321
000040,2019-09-30,-0.6590918948703544,0.038685820584947746,-0.1606975576804956,G1,-17.399740007931083
000050,2019-09-30,-0.06749473666053288,0.01041770456211025,0.012074803609148135,G2,-7.825722209310132
000070,2019-09-30,-0.06080404804901536,0.016991389148206523,0.05086476303972044,G3,-4.404311660304666
000080,2019-09-30,0.1171246938980473,0.021860597508114407,0.0657349769634613,G4,4.715944683514502
000100,2019-09-30,0.002986509287540788,0.012625799507379241,0.04787286268181125,G3,-0.8747815144069718
000120,2019-09-30,0.020399768754771175,0.015798958950541283,0.01372252716202829,G2,0.40309260081647263
000140,2019-09-30,0.25041726344573506,0.02009818177674251,0.06263786462422767,G4,11.761558372313788
000150,2019-09-30,-0.27632373741066124,0.015413808773872644,0.005904490467775793,G2,-18.837333910878392
000180,2019-09-30,-0.15476585967798923,0.010327705373349694,-0.04106437534230324,G2,-16.344113128436994
000210,2019-09-30,-0.2376895576319003,0.01704669183418348,0.1048566397197911,G4,-14.76655326333365
000220,2019-09-30,0.0948499274629041,0.0235949982361248,0.06753192819297336,G4,3.425242983827102
000230,2019-09-30,-0.07832775445529996,0.015185764981702994,-0.04219829170948708,G2,-6.081951081673281
000240,2019-09-30,-0.06906404888864338,0.01329608138241154,0.37879386692533873,G5,-6.249613837334755
000250,2019-09-30,-0.14175174818263178,0.022596485151041797,0.19089191880089126,G5,-6.8941285532920284
000270,2019-09-30,-0.1002926214962114,0.014385742382451378,0.029549805391694817,G3,-7.947031425842551
000300,2019-09-30,-0.1545716734293656,0.01533259544195899,0.07881539861284788,G4,-10.996376925799106
000320,2019-09-30,-0.07438305782318291,0.011354495070892848,0.0594246229053982,G3,-7.786729623146099
000390,2019-09-30,-0.10776110488589302,0.018346256814320065,0.019192981101933605,G3,-6.638543841380954
000430,2019-09-30,-0.15784034106981798,0.009900586339559946,0.02017220950819279,G3,-17.35974622879376
000480,2019-09-30,-0.05978161523862034,0.01580487446622863,0.08844282082895073,G4,-4.670264271794525
000490,2019-09-30,-0.2804617324859233,0.020760833357665334,0.016626347953090703,G2,-14.185030663925403
000500,2019-09-30,0.19441855669816213,0.019759917547651794,0.0022172860838632785,G2,9.128946563767114
000520,2019-09-30,-0.0909577505866643,0.030800975643604758,-0.015173517662777566,G2,-3.4086282558931895
000590,2019-09-30,-0.062016153341898986,0.009611385777792986,0.2007574575779791,G5,-7.912228309346478
000640,2019-09-30,0.08228047807187519,0.016143960107109223,0.08884077053296176,G4,4.227534775721844
000660,2019-09-30,0.14223515992197516,0.01816275288478968,0.07608083095692995,G4,7.058612504062318
000670,2019-09-30,0.0415108367720809,0.017470923522538966,0.09895929918771094,G4,1.5728711441856642
000680,2019-09-30,-0.015165311244234491,0.015221524372619522,-1.0471453357319325,G1,-1.9181151526425433
000720,2019-09-30,-0.17800553639272676,0.018598425863721162,0.07062863998164276,G4,-10.325436308484923
000760,2019-09-30,-0.04437219712287539,0.008476087153072367,-0.09064128904472006,G1,-6.89038719981901
000850,2019-09-30,-0.025175407441877604,0.01016133963223142,0.05381605369685643,G3,-3.8584216414457786
000860,2019-09-30,-0.15428029835465773,0.0095564676007944,0.03927352801260825,G3,-17.61232609022515
000880,2019-09-30,-0.13685187524968287,0.01732899188548756,0.028144598528593887,G3,-8.706980853124364
000890,2019-09-30,-0.1374221295200982,0.026304693653757375,-0.014595157051768391,G2,-5.757658949191727
000910,2019-09-30,-0.2902862495160776,0.02108852928060701,-0.20866430872989564,G1,-14.430478805230507
000950,2019-09-30,-0.13653803854953792,0.015585959640359989,-0.3399360164631654,G1,-9.660577040174154
000970,2019-09-30,-0.13192258350835576,0.017533535818190896,0.02979539233487608,G3,-8.324271289201953
000990,2019-09-30,0.5668987973803308,0.027012886912186028,0.2672291249247375,G5,20.46680437660726
001020,2019-09-30,-0.2785744077604807,0.03482555231606264,0.029786134762058034,G3,-8.402041420796838
001040,2019-09-30,0.022859230470715086,0.01806655561219668,0.019297939708410455,G3,0.4886324410144119
001060,2019-09-30,0.11633252332478045,0.025316507432174864,0.009361163859516299,G2,4.040889064087908
001070,2019-09-30,0.030035031429313606,0.007065726389683478,-0.06941030999480417,G1,2.264976768910199
001080,2019-09-30,-0.17195515197518182,0.01104492890368068,0.0033324489972667267,G2,-16.83908324791546
001120,2019-09-30,-0.33656485032896766,0.016753036740791982,0.00427760347275166,G2,-20.927320882458616
001140,2019-09-30,-0.9266937732064042,0.05124437111509974,-0.6482248752056232,G1,-18.357627931361492
001210,2019-09-30,0.6615182512045613,0.06690195848668459,-0.2652078792894584,G1,9.678146059539124
001230,2019-09-30,-0.26328612382687744,0.01908952727401036,-0.04375238719300016,G2,-14.527203589040104
001250,2019-09-30,-0.18125433587051687,0.012381816698225774,0.005052860245241057,G2,-15.771971587958065
001260,2019-09-30,-0.2612665216904478,0.030106088256928083,0.015391391400574753,G2,-9.144258285640959
001340,2019-09-30,0.28860805248398713,0.04896120175315981,0.07981956477524299,G4,5.608047134281421
001360,2019-09-30,0.4820330793889568,0.05036516936284684,-0.2717981164552698,G1,9.292170760235456
001380,2019-09-30,-0.20981570435569466,0.020275779575799336,-0.026544508573277066,G2,-11.040119509095359
001390,2019-09-30,0.06566095534422686,0.021814005522588484,0.49862840025257804,G5,2.366811083345486
001430,2019-09-30,-0.22788559022071453,0.017014921817463988,-0.0007467591344760479,G2,-14.217926953600083
001440,2019-09-30,0.002357715961535575,0.016705323884787876,-0.00437132114784015,G2,-0.6987957503954408
001460,2019-09-30,-0.0709134606304651,0.007883239999855794,0.4890365379413862,G5,-10.775364689293205
001470,2019-09-30,-0.10015081549428162,0.020639379772646068,0.15861696292874053,G5,-5.532246707665853
001520,2019-09-30,-0.30717464719217324,0.022205504438386377,-0.04400815980192324,G2,-14.465150899166845
001530,2019-09-30,-0.1034134181918416,0.011741085893894823,0.07334721379152583,G4,-10.00288598128013
001540,2019-09-30,-0.0167440992690287,0.022611036754287966,0.046102879604136726,G3,-1.3610797640403303
001560,2019-09-30,0.07467357459121379,0.0263248752559506,0.0947932236644444,G4,2.3036101292180344
001570,2019-09-30,0.1436490325756999,0.028288287181328187,0.022891727335504042,G3,4.582027410979123
001620,2019-09-30,-0.18972757583521252,0.009105448559778559,0.0032145863826286455,G2,-22.377689555732623
001630,2019-09-30,0.24097254250211608,0.024664666221592593,0.16787515408821774,G5,9.20106581463634
001740,2019-09-30,-0.09846498553321358,0.017656975349498616,0.012575490894108548,G2,-6.371210731605444
001780,2019-09-30,0.052973408370824634,0.02322238642869832,-0.008663271665723329,G2,1.6769199491700408
001800,2019-09-30,-0.0028675703234509343,0.022309921452335613,0.1609679152881614,G5,-0.757461009477763
001810,2019-09-30,-0.06875859063628201,0.00918212932957059,-0.012277017914810706,G2,-9.016417975171183
001820,2019-09-30,0.12857353287771955,0.02622600561822582,0.1112685847791533,G4,4.367504882135517
001940,2019-09-30,-0.03802964023571723,0.012974235246069374,0.08144960257300989,G4,-4.012642329164968
002020,2019-09-30,-0.017722886854712055,0.027809261082123907,0.012774704695754145,G2,-1.141857457562179
002030,2019-09-30,-0.11776219281668407,0.013136106182597846,0.08768629016328543,G4,-10.03292119338098
002070,2019-09-30,0.16744285883879267,0.07819885973704095,-0.021822059332086065,G2,1.961812922253142
002140,2019-09-30,-0.40852443707427544,0.033897454265219715,0.030329555221792034,G3,-12.465707869072668
002150,2019-09-30,-0.31882420105078674,0.020817705346593506,-0.03448552381078863,G2,-15.989059351657035
002170,2019-09-30,0.029362518324914405,0.02196768751840966,0.31338380217328077,G5,0.6978974464591028
002200,2019-09-30,0.0698223659107565,0.01082559807014985,0.07390628010008124,G4,5.153622021437142
002220,2019-09-30,-0.12359382035953212,0.008139913724943689,-0.06104602681282487,G1,-16.90744525203048
002230,2019-09-30,-0.0009927910434241044,0.012779185315873506,0.054963487846450006,G3,-1.17567090336869
002240,2019-09-30,-0.2687620994595092,0.015818453831737526,0.02586861438749766,G3,-17.877437818437624
002300,2019-09-30,-0.096193732145353,0.012442318815405437,-0.12398186764659458,G1,-8.858883868984519
002310,2019-09-30,0.1771744897163554,0.020816813699327204,0.1254373271207084,G4,7.837086250160532
002320,2019-09-30,0.09733037944992715,0.030229184822747928,-0.008702348500279141,G2,2.7555838715848706
002350,2019-09-30,-0.09848952027961716,0.015748647953003455,0.07935422848184083,G4,-7.14479401130831
002360,2019-09-30,0.06872345850203554,0.04850655526715024,0.005388001769538129,G2,1.127520453670919
002380,2019-09-30,0.07788546027454252,0.02605512121528821,-0.13233560931271898,G1,2.4507326005403653
002390,2019-09-30,0.1253328836708959,0.017283112309657463,0.18012404228080608,G5,6.439902511511077
002410,2019-09-30,0.6737863847416451,0.049901300468708054,0.06287475018865951,G4,13.22119971310482
002450,2019-09-30,-0.0111579112535223,0.018434715092028757,0.0596981515599956,G3,-1.3664022703350065
002620,2019-09-30,0.056139446531253884,0.019138897323551264,0.027876780854137827,G3,2.2001330859449864
002630,2019-09-30,-0.20803713211588648,0.05318490095495039,-0.10894086199346902,G1,-4.175404173549023
002710,2019-09-30,-0.10003561324309049,0.016620819646262226,0.017093676973273568,G2,-6.862894909635051
002720,2019-09-30,0.6830027325036653,0.05134990226507913,0.04784969537833888,G3,13.02770555918661
002790,2019-09-30,0.14632410157481374,0.033732386094233936,0.10145053512262044,G4,3.921832742695379
002800,2019-09-30,0.18460669471494578,0.028547513614092405,0.0367991636711448,G3,5.975139261499009
002810,2019-09-30,0.0317177374453468,0.013452717786317401,0.15977910986750346,G5,1.3147092227067034
002820,2019-09-30,-0.1897912512419316,0.012038035087929557,-0.10065692497086842,G1,-16.931548633506452
002840,2019-09-30,0.04832142076115702,0.012725656177583929,0.19579619338520413,G5,2.6945640351617985
002870,2019-09-30,0.10955149409478487,0.01730582670960386,0.08829651491617185,G4,5.51953803747331
002880,2019-09-30,-0.10094503776542689,0.017409733761347475,0.0031817925902132027,G2,-6.604142524103296
002900,2019-09-30,0.09220353309160281,0.03908948271805896,0.008464718628761032,G2,1.9998271236851957
002920,2019-09-30,-0.0997874354442712,0.007863130697696768,0.07013358233974024,G4,-14.474992864968563
002990,2019-09-30,-0.24298069615849952,0.025455835620466185,0.034141783751426104,G3,-10.096389106671861
003000,2019-09-30,0.05144121382908916,0.01869368955769159,-0.057651913047051195,G1,2.001204118236355
003010,2019-09-30,-0.17965460008013068,0.027716161947861084,0.011948138080126897,G2,-6.988194315854134
003030,2019-09-30,-0.22642511558423462,0.011831922637376141,0.03362994494016529,G3,-20.322685353423108
