종목코드,날짜,기간수익률,표준편차,Y1,그룹,성과
000020,2022-06-30,-0.1481685305970513,0.01913753020727993,0.0741944942654731,G4,-9.546128589693867
000040,2022-06-30,0.08224299425601456,0.04172719531648794,0.03830471346632531,G3,1.1436714172439029
000050,2022-06-30,-0.0589080990112595,0.016574093198015734,-0.0070190811809885435,G2,-5.637044002699257
000070,2022-06-30,-0.1260585231599678,0.015159344368097148,0.04514626118399703,G3,-10.592761330015085
000080,2022-06-30,-0.14250031598477397,0.01570260604481601,0.06109977439265875,G3,-11.273358646987683
000100,2022-06-30,-0.027343265463870302,0.010587149286223379,0.06818184267571947,G4,-5.843316027966574
000120,2022-06-30,-0.21730946451107197,0.021421381731976132,0.02138683977239835,G2,-11.756023085380784
000150,2022-06-30,0.19887038389573403,0.04102041777185854,-0.031025686895476082,G2,4.00653136101627
000180,2022-06-30,-0.08338325981108367,0.021321593177551897,-0.036697316138166604,G2,-5.529795662080765
000210,2022-06-30,-0.19837094308418118,0.021356990897876123,-0.02019687768989777,G2,-10.904707402302403
000220,2022-06-30,-0.05804651923054722,0.020445112792756015,-0.02581624703805266,G2,-4.527600988053181
000230,2022-06-30,0.4052739302788376,0.08592319748932375,0.24616068843256408,G5,4.314936448612859
000240,2022-06-30,-0.01734806265074699,0.02156914730595432,0.3231697386679626,G5,-2.4047708314932716
000250,2022-06-30,-0.036230589337843705,0.03284646510512228,0.03227038063456507,G3,-2.154002957767408
000270,2022-06-30,-0.06433413924773677,0.01605468729622068,0.08598319508736156,G4,-6.157387626092297
000300,2022-06-30,-0.046725597765040386,0.025751428518777368,0.037489560338114666,G3,-3.155024637044542
000320,2022-06-30,0.05794892546033929,0.031595578246358245,0.03439622627276639,G3,0.7415003335869004
000390,2022-06-30,-0.1436168327924202,0.024507752884430967,0.042509230826276834,G3,-7.2686234141188555
000430,2022-06-30,-0.04273843183952337,0.019234519408585816,-0.010253285918918798,G2,-4.016696432551904
000440,2022-06-30,-0.010443741485169439,0.05165214250073671,-0.031930399532116564,G2,-0.8705260413025802
000480,2022-06-30,-0.06359768456106801,0.005650359758804962,0.07434699472606966,G4,-17.364996637420035
000490,2022-06-30,-0.15907969930072707,0.029851112790141746,0.08052213128707031,G4,-6.485536881407542
000500,2022-06-30,-0.2941968379144228,0.026345644285248524,0.015371497159156564,G2,-12.477114926708104
000520,2022-06-30,0.0585576028010519,0.023227529849440577,-0.006095756907865625,G2,1.0348413846010909
000590,2022-06-30,-0.0037850391595060985,0.03444777309260749,0.1844532187884172,G5,-1.1119973621319572
000640,2022-06-30,-0.006223089314480388,0.016605247529418218,0.034257471417943594,G3,-2.4536751345074066
000660,2022-06-30,-0.0799961441591803,0.018680576087105775,0.2082992391355268,G5,-6.130268000086946
000670,2022-06-30,0.21836543490070603,0.026288054590224794,0.11478824746933064,G4,6.993466961160183
